2021-04-16 20:02:11 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:11 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:11 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:11 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:11 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:11 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:11 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:11 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:12 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:12 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:13 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:13 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:13 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:13 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:13 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:13 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:13 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:13 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:13 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:13 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:13 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:13 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:14 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:14 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:14 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:14 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:14 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:14 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:14 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:14 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:14 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:14 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:14 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:14 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:15 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:15 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:15 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:15 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:15 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:15 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:15 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:15 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:15 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:15 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:15 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:15 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:16 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:16 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:16 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:16 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:16 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:16 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:16 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:16 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:16 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:16 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:16 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:16 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:17 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:17 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:18 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:18 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:18 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:18 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:18 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:18 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:18 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:18 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:18 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:18 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:18 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:18 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:19 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:19 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:19 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:19 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:19 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:19 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:19 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:19 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:19 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:19 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:19 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:19 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:20 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:20 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:20 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:20 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:20 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:20 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:20 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:20 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:20 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:20 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:20 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:20 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:21 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:21 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:21 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:21 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:21 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:21 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:21 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:21 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:21 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:21 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:21 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:21 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:22 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:22 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:23 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:23 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:23 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:23 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:23 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:23 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:23 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:23 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:23 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:23 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:23 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:23 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:24 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:24 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
